batch,CD4 T,CD8 T,Treg,NK,B cell,Plasma,Myeloid,Mast,Stromal,Epithelial
GSE132257,2812,2240,744,879,1042,3052,1120,70,243,3440
GSE132465,9803,7368,2200,3590,3280,5443,5649,77,1433,15644
cellxgene,50,69,15,33,5,16,272,0,1,8542
GSE125527,27361,8222,2437,9102,10359,7061,6340,138,18,828
GSE150115,299,75,138,108,383,796,67,0,23,249
