pathway,left_mean,right_mean,log2fc,pval
T cell Exclusion,0.4002752582788884,0.0872628035475077,-2.076632072687349,9.392046788157918e-109
Matrix Remodeling,0.2367518547307653,0.062372634359865,-1.7695447371638442,2.4917748363091515e-86
Lipid Metabolism,0.1032852531189317,0.0499846705099548,-0.917294308476704,1.2541770025599978e-08
Angiogenesis,0.1920709013528462,0.1164416608439995,-0.6763896948131528,1.623101770075812e-25
Immune Suppression,0.3500672842690597,0.2482228975612934,-0.4796495868199277,6.649658530406385e-57
