,RELA,NFKB1,HIF1A,STAT3,PPARG,KLF4,CEBPB,IRF4,IRF1,NFATC1,FOS,JUN,MYC,RUNX1,SPI1,subtype
TAM,0.3823233618541763,0.2650507113459412,0.578022754850361,-0.04779462744715161,0.4138817940334544,0.1683759038685585,0.16629552355726449,0.07431731759931416,0.7015582180525622,-0.05427834884303202,0.21225440123911118,0.2407724556900615,0.11329889686541283,-0.07061072518185384,0.1235674169904075,TAM
Classical_Mono,-0.036115195421676176,-0.3464307134483806,0.4372052814201766,-0.24078277099423237,-0.003509729455202903,0.18096887888622004,-0.15444751362138515,0.2857323905420886,-0.18314809142792757,-0.013583081177462108,0.3013732037629903,0.8105558501017606,-0.09452640348482644,-0.08678008357568111,-0.06602547682392973,Classical_Mono
Inflam_Mac,-0.05633763190518568,-0.36655829985516164,0.5958706777968239,-0.3249258339034152,-0.29615988223393086,0.04309396589454925,-0.3405022297954417,0.35978425189204605,-0.03520153680019851,0.03862885409698433,0.16696455669330176,0.6084959351698797,-0.03619006552250445,-0.008165442151910134,0.0655460802601652,Inflam_Mac
cDC2,-0.1749859924294248,-0.5156424705391899,0.4312427339815307,-0.3903478795492986,-0.19617984242069472,-0.00531958089852802,-0.35780275277959456,0.028287254235471473,-0.06849818399934642,0.07027180073074463,0.34776272504560635,0.8359765417887497,-0.01933361115840051,-0.16229796234326033,-0.365655479725967,cDC2
pDC,-0.7038877304962686,-0.7252324695777912,0.08623858338206424,-0.6259709007063705,-0.03878780124926499,-0.20828404313434792,-0.7641789813235481,-0.26237477221769634,0.1952451864307921,-0.24185545880275733,-0.23525335808336062,0.23530234032444314,-0.3121239055749807,-0.47986209934339746,-0.013624925374245719,pDC
Unknown_My,-0.5631971677874414,-0.7498001738577743,0.444117980504525,-0.538444173761672,-0.3324986694819541,0.06560268540480639,-0.40731940006795736,0.4822697705806759,-0.4478002491202337,0.16403496010543733,0.3428386574978413,1.1720270290618797,-0.16705773321411566,0.32688391496620467,0.3505552673170519,Unknown_My
