,delta
MYC,1.6181717
JUN,0.7479758
HIF1A,0.63029194
SP1,0.46182203
CEBPB,0.39963496
TP53,0.32472038
STAT1,0.2886001
FOS,0.28441095
KLF4,0.18741775
STAT3,0.18440318
BATF,0.10427725
RUNX1,0.096244454
NR4A1,0.050070852
NFATC1,0.017710268
RELA,-1.9550323e-05
FOSL2,-0.04993525
IRF4,-0.06945802
IRF1,-0.07687914
PPARG,-0.124043405
NFKB1,-0.31995845
FOSL1,-0.37119848
