pt_bin,pt_mean,n_cells,RELA,NFKB1,HIF1A,STAT3,PPARG,KLF4,CEBPB,IRF4,IRF1,NFATC1,FOS,JUN,MYC,RUNX1,SPI1
0,0.024369029981218645,735,-0.5000905431821755,-0.7312107018099688,0.30437624696602256,-0.3962397289151982,0.008546059762594886,0.2727763403108111,-0.19128163372161058,0.4033455789821231,-0.5556699223071033,-0.013980360088424291,0.5072975241085799,1.291780845280361,-0.20262359325344514,-0.07698365729262648,-0.05463889016809264
1,0.04596391224471807,734,-0.4239763250013698,-0.6966631511113728,0.3037544027566968,-0.3463862048275644,0.026194308724725862,0.25581807082090824,-0.2179151723574255,0.4074799515906824,-0.5455901765025071,0.00555110186905536,0.45909555743809105,1.2208507565633524,-0.21741901287504156,-0.10816943316978113,-0.06637407949729933
2,0.06112751261954004,735,-0.42152487287431606,-0.6766471275562567,0.29894977254467636,-0.32518440520088565,0.0055379817510379315,0.2842769344181341,-0.18933375483291698,0.44569585526062716,-0.5417548656512923,0.04036454807736271,0.43614478449496336,1.1955492940159371,-0.24572582551782335,-0.07263043427520015,-0.0560160652554155
3,0.0872246301808271,734,-0.4950245311225913,-0.7307904468945916,0.30489420591644706,-0.3412091194476031,0.033972671348252846,0.31505244176446023,-0.17520916361229374,0.4273840738646799,-0.5456695359708212,0.03837778519911152,0.34506258282564123,1.186314079176329,-0.2504847798272692,-0.03806393751813138,-0.026214936339735845
4,0.1388388197885988,735,-0.4547261887510176,-0.6953706167288795,0.30007146085928077,-0.3502527744873497,-0.026197925175288437,0.24201247279956087,-0.25630344498973295,0.40138859148729433,-0.4346203886587426,0.0034926696397693056,0.3702524777059018,1.1039731390969798,-0.19955436600211798,-0.052068939463438275,-0.04368409200066124
5,0.19092918312292517,734,-0.26058045446498257,-0.5442334270313907,0.35699994284180087,-0.3210245084682421,-0.07238718528540047,0.17423566998794818,-0.2455980836618787,0.32818254663240887,-0.29542619804782905,-0.007659428448910127,0.3731677020440317,0.9328035280257557,-0.1521731382892851,-0.08691094540815007,-0.14060822316491614
6,0.22810023236944388,735,0.5841183778604297,0.12519149229443738,0.5195237137425189,-0.08359957366184625,-0.10143974189139678,0.0718200071452792,-0.2774007308182798,0.1315373952767398,0.24601800610570038,-0.043808516084632945,0.07467744753175416,0.15705077798600453,-0.0347350112438986,-0.1962902922372983,-0.27214611597836347
7,0.2462486795564737,734,0.776233772923363,0.2898730702904323,0.6655267392919226,-0.02004759388174823,-0.06873900787095522,0.04581913407768364,-0.1826406867843906,0.0956920460679162,0.42450764414103725,-0.042590583695611584,0.020397769006003316,-0.02553509396754718,0.09706756587863333,-0.19807823468164892,-0.19749174776779166
8,0.261088074232706,735,0.7791400366896996,0.325176642322039,0.7748792370667009,-0.028915007069616878,-0.03486664143639033,0.006091744303313454,-0.17424650976468936,0.0422438676478852,0.4361413602492457,-0.0808998088489333,0.005420367999949977,-0.06552931158974562,0.17754391730587907,-0.20958669762757007,-0.20336354550317703
9,0.27340187743825833,734,0.6361246154895174,0.18240846937713315,0.7746036482080897,-0.0375613542141573,-0.11405487817461986,-0.008757457141776476,-0.12626195016735495,0.019801959937207302,0.43889630198994806,-0.05485670960566663,0.03023437017070102,0.052221180639376426,0.18061974714914908,-0.23009856290707437,-0.2264296981676938
10,0.28244825910768684,734,0.5489794739804243,0.13231997866395998,0.729157056046662,-0.10076622754440998,-0.09626806326421487,-0.015255019562405391,-0.0956993528562375,0.005051683831731338,0.4131801453935311,-0.0265847304318191,0.09306447604452564,0.14430251511748834,0.16776378626144597,-0.22663679105277257,-0.22264679654468275
11,0.2956747852429593,735,0.37043933363084564,0.010102080513298209,0.574656068851467,-0.1769398272547134,0.01919941466755281,0.07147088565621831,-0.05791280676253566,0.0702962298107059,0.38221133498974913,0.0009376093562413846,0.1293080135707986,0.2415926777197234,0.10612793396766118,-0.12439750412887476,-0.05600652033556227
12,0.3146285784823655,734,0.31078842959256026,0.12318952046529075,0.5873461516437843,-0.14882088191998863,0.2306368390008187,0.11083399803303708,0.004588002514129589,0.06562753027555084,0.5339157456109881,-0.011043024209918534,0.047587317899148246,0.06098306134427771,0.12029484000906426,-0.08388920826661463,0.0767940285070283
13,0.32843356990517847,735,0.24106398408649043,0.1058395281039765,0.5559745623632083,-0.14085425537998117,0.3483235801783537,0.1340654479929458,0.061214979581605516,0.07209199801609757,0.5699957374774028,-0.029144588129559675,0.11831107175356802,0.1777069155617665,0.08285786786502777,-0.056040053540744636,0.11300306417321437
14,0.3386588844187211,734,0.1395552939599119,0.1098108892036586,0.5535156807406153,-0.12790191602542803,0.4499105391089411,0.192473209754182,0.13256454703361836,0.10033888331872762,0.688412329634515,-0.045939296961688525,0.2194195168842378,0.2972246462966348,0.09827255266465061,-0.03532831030449441,0.16105874542438545
15,0.34646820095669256,735,0.06847598088031895,0.11159201322006057,0.48621534143418244,-0.1538822383501793,0.4522052648142389,0.18434772665984675,0.13793365133710261,0.17265207168014932,0.6402406359618685,-0.025215092415531014,0.41463695982661175,0.7131818873245451,0.014353910081730297,-0.03143574907011158,0.21954363051002007
16,0.3929999670946359,734,-0.5368773270275813,-0.738937763148504,0.3768472385580833,-0.5157097144469005,-0.3230540961191304,0.08465077441254247,-0.4017917085108799,0.4432458742879141,-0.44082949963974344,0.07498393697951561,0.4082345674509096,1.2694593409582864,-0.15871904680985927,0.11081004475145707,0.13957153439912906
17,0.44657499693679736,735,-0.48291356688337306,-0.6875646699234012,0.37878345026736304,-0.3983623232821077,-0.15566880955343262,0.09851592752866253,-0.21259609930095183,0.3303831823558757,-0.44178595734964804,0.04289381737829487,0.5226878861780988,1.3410954569508264,-0.15320198018803027,0.07860752688664625,0.06916602396916341
18,0.48240721189609614,734,-0.48926452221808847,-0.7070549228310111,0.42178980775559466,-0.42939423838719365,-0.15264763628412556,0.14112483515402097,-0.1890668348151786,0.38754987077447123,-0.3971863816603732,0.06433374697617117,0.5091310612386463,1.364570164434052,-0.14342627721633291,0.15703601307079623,0.13870377593986924
19,0.7115815331219858,735,-0.3537549255248341,-0.5429815820519504,0.22223052092188297,-0.45119059673995443,-0.1161492862861482,-0.10542172375019634,-0.5279144304642674,-0.05935110358291056,0.06447010311422623,-0.13663850599423039,-0.05114659849826356,0.4868494084221109,-0.2249891852965574,-0.2784797368038851,0.03137513622547607
