subtype,CRC_mean,UC_mean,log2FC,pval,n_CRC,n_UC,fdr
CD8_Tex,0.07924787856012891,0.0049860420298248114,3.9901342530979678,1.1110151541720946e-06,25,20,8.888121233376757e-06
gdT,0.021624848505570962,0.00041133969925896566,5.712779561035262,0.0008917469752122778,25,20,0.003566987900849111
Treg,0.17198026640273256,0.11536957754130217,0.5759760767940156,0.0028746827261300345,25,20,0.007665820603013425
CD8_Teff,0.2827065776577517,0.2152382717846315,0.39336922263271523,0.005915768916036422,25,20,0.010631427715404793
Tfh,0.0020027457371430153,0.027753085865214838,-3.7919288196728496,0.006644642322127996,25,20,0.010631427715404793
CD8_Tpex,0.011210117121983311,0.18370546891070044,-4.034400482887457,0.011954387590289486,25,20,0.015939183453719315
CD4_Tconv,0.02241681577703807,0.1737519843669308,-2.9543201328849977,0.01921852121937493,25,20,0.021964024250714205
Th17,0.4088107502376514,0.27878422980213646,0.5522825349749387,0.03461370353598753,25,20,0.03461370353598753
