Patient,Class,n_myeloid,frac_SPP1,frac_suppressive,frac_proinflam,mean_Predriver_v2,mean_TAM_score
KUL01,Border,349,0.5243553008595988,0.6332378223495702,0.25787965616045844,1.560503377750473,1.948981826880959
KUL01,Normal,347,0.002881844380403458,0.5821325648414986,0.3256484149855908,1.1201772425860816,1.4122062607215418
KUL01,Tumor,346,0.5144508670520231,0.6965317919075145,0.19653179190751446,1.564147472720221,1.9474091486304324
KUL19,Border,146,0.11643835616438356,0.3082191780821918,0.2054794520547945,1.2322784669525235,1.64092552396441
KUL19,Normal,261,0.02681992337164751,0.4904214559386973,0.2796934865900383,1.1849507435097615,1.503179071848605
KUL19,Tumor,208,0.21634615384615385,0.25,0.16826923076923078,1.3331973781231996,1.7620878419792219
KUL21,Border,246,0.43902439024390244,0.6219512195121951,0.23170731707317074,1.40247570411115,1.6575786906643273
KUL21,Normal,93,0.0,0.3978494623655914,0.3333333333333333,0.9877783306842576,1.2812278323926216
KUL21,Tumor,244,0.36475409836065575,0.5040983606557377,0.3524590163934426,1.2503048842405544,1.5062469838676273
KUL28,Border,34,0.23529411764705882,0.38235294117647056,0.29411764705882354,1.167376368065842,1.4720212697031907
KUL28,Normal,16,0.0,0.375,0.25,1.0344781472001756,1.3947264723763126
KUL28,Tumor,59,0.3898305084745763,0.576271186440678,0.23728813559322035,1.1923336925460408,1.488699550047706
KUL30,Border,76,0.5,0.6052631578947368,0.18421052631578946,1.2304006732316843,1.529441237682352
KUL30,Normal,70,0.0,0.42857142857142855,0.4,0.9655406485577018,1.2601786601620266
KUL30,Tumor,67,0.23880597014925373,0.3283582089552239,0.3880597014925373,1.15918030291478,1.4926060112365067
KUL31,Border,73,0.3150684931506849,0.3698630136986301,0.1095890410958904,1.312403569454783,1.7023513153514565
KUL31,Normal,36,0.0,0.3055555555555556,0.4444444444444444,0.9495937486300393,1.3272327035387805
KUL31,Tumor,5,0.2,0.4,0.2,1.2585063247680663,1.5846811047181601
