subtype,CRC_mean,UC_mean,log2FC,pval,n_CRC,n_UC,fdr
TAM,0.4369562284132882,0.04698131456740972,3.217302374255484,3.896765825145114e-07,25,17,1.9483829125725567e-06
Classical_Mono,0.34214342067002795,0.5864272089754918,-0.7773490815325641,0.0015518875240490824,25,17,0.0038797188101227058
Inflam_Mac,0.07401280706876706,0.16776900283148735,-1.180618454204989,0.010284028228354442,25,17,0.017140047047257405
pDC,0.04297292756593221,0.02556365066271209,0.7493113250977289,0.15112322067290626,25,17,0.1889040258411328
cDC2,0.10391461628198449,0.17325882296289905,-0.7375246716857333,0.24362272489368786,25,17,0.24362272489368786
